hip;plx;plx_err;ruwe;teff_spec;radius_flame;lum_flame;diam_mas;diam_n
1143;4.1866;0.0317;0.973;;2.423;41.242;;
1146;2.1194;0.0218;1.009;3737;;;;
1147;17.3122;0.0250;1.078;6271;1.916;4.901;;
1150;2.3427;0.0169;1.058;4834;18.337;219.013;;
1153;3.6231;0.0256;0.998;4220;23.254;207.830;;
1161;13.1093;0.1413;6.031;6243;2.480;7.972;;
1168;9.4052;0.1673;2.086;;;;4.359;1
1169;12.2547;0.0306;1.128;;2.356;8.198;;
1170;7.0797;0.2249;1.734;;;;;
1176;7.7814;0.0260;1.189;4711;9.227;48.820;;
1177;2.5938;0.0343;1.000;4383;;;;
1181;4.4277;0.0232;1.027;4506;;;;
1191;9.1900;0.0762;1.063;;2.297;82.180;;
1192;3.5935;0.0300;0.904;3824;;;;
1193;7.1992;0.0471;0.933;;;;;
1195;5.4262;0.0308;1.006;4164;24.765;255.649;;
1196;13.5903;0.0486;0.939;;2.731;16.978;;
1197;13.4526;0.0349;0.978;2910;1.537;4.001;;
1202;1.1350;0.0174;0.939;4586;;;;
1204;1.6305;0.0378;1.046;;;;;
1207;4.7487;0.0185;0.931;4798;10.400;61.836;;
1208;3.5637;0.0267;1.062;4000;;;;
1211;10.6050;0.0248;0.931;;1.548;4.551;;
1215;7.2189;0.0331;0.868;;;;;
1230;6.3446;0.0312;0.984;4762;6.761;24.973;;
1231;7.1777;0.0283;1.040;6189;2.754;12.858;;
1234;13.8466;0.3515;13.478;5996;1.821;5.279;;
1236;2.0156;0.1170;1.381;;;;;
1243;4.5481;0.0181;0.921;4435;;;;
1245;2.1576;0.0288;1.077;4017;;;;
1247;0.8947;0.0195;0.969;4048;;;;
1259;3.5958;0.0250;1.000;;2.667;77.742;;
1265;5.0313;0.0281;1.129;4756;8.994;51.645;;
1268;5.2551;0.0209;0.998;4784;;;;
1272;8.2721;0.0355;0.938;;1.651;25.522;;
1286;9.1119;0.0325;0.933;;1.823;8.438;;
1288;7.3333;0.0655;0.963;4223;;;;
1292;56.9644;0.0192;1.028;5516;0.930;0.646;;
1296;5.4393;0.0539;1.034;;;;;
1302;10.2349;0.0329;0.948;;2.128;38.441;;
1307;2.9130;0.0221;1.060;4370;;;;
1312;5.1757;0.0191;1.073;4524;;;;
1315;2.8545;0.0249;1.083;4411;21.509;225.162;;
1318;6.7513;0.0254;1.018;;2.802;23.471;;
1325;2.8967;0.0555;1.105;4250;;;;
1329;6.1284;0.0209;0.855;;2.250;17.533;;
1330;6.7160;0.0207;1.047;4649;11.309;54.510;;
1331;5.4878;0.0610;1.042;;2.540;152.769;;
1333;7.5582;0.0371;0.975;;1.806;30.093;;
1339;2.8224;0.0731;0.959;3732;133.478;3250.951;;
1340;8.5499;0.0315;0.878;;1.577;19.195;;
1342;9.0000;0.0166;0.984;;3.547;19.768;;
1346;4.5802;0.0183;0.920;4657;12.696;86.602;;
1352;1.7141;0.0391;1.073;4250;;;;
1353;5.8123;0.0217;0.880;4720;10.579;60.471;;
1354;4.8081;0.0398;1.021;4926;18.527;253.621;;
1355;2.8540;0.0207;0.880;;3.140;319.691;;
1356;4.9843;0.0160;1.046;4585;10.407;42.431;;
1359;4.3576;0.0180;1.009;;2.844;86.699;;
1363;4.6552;0.0255;0.924;7650;;;;
1367;2.1542;0.0206;0.934;3853;;;;
1372;2.8487;0.0516;0.880;;;;;
1377;6.1402;0.0313;0.895;;1.692;22.805;;
1381;2.0300;0.0404;1.108;;;;;
1382;27.5948;0.0216;1.117;5673;0.911;0.750;;
1397;10.1987;0.0248;0.984;6010;2.253;5.854;;
